estateName,road,facility,,,,
机车馨苑,估价对象所在小区东北临其他；西北临其他；西南临其他；东南临二仙桥北路。,周边有“华林雅筑”、“交大-归谷建设派”等住宅楼盘，区域内有金苗幼儿园、成都市二仙桥学校、成都市第四十九中学校、誉美医院、民兴苑活动广场、世纪华联超市、红旗超市、农商银行、工商银行、建设银行等公共及生活配套设施，区域内有有7路、36路、71路、146路、1047路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
天旭逸城一期,估价对象所在小区西北临其他；西南临其他；东南临长林路北段；东北临聚缘路,周边有“长林小区”、“卢竹苑”等住宅楼盘，区域内有新都木兰中学、木兰小学、小拇指幼儿园、长林村卫生站、木兰公立卫生院、红旗超市、新五块石农贸中心、成都市农村商业银行等公共及生活配套设施，区域内有652路、660路、601路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
中央花园二期,估价对象所在小区东临其他；西临其他；北临河道；南临沙堰西二街。,周边有“橄榄苑三期”、“交大花园”等住宅楼盘，区域内有成都第二十幼儿园、晋阳小学、四川大学附属中学西区学校、四川妇女儿童医院、成通医院、晋阳社区卫生服务中心、千盛百货购物广场、韵华综合市场、永辉超市、建设银行、中国银行、中国工商银行等公共及生活配套设施，区域内有8路、21路、53路、70路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
比华利国际三期,估价对象所在小区东北临静明路；西北临劼人路；西南临其他；东南临佳宏北路。,周边有“嘉和园”、“ 爱丁郡院”等住宅楼盘，区域内有成都市沙河堡小学、四川师大附中东校区、四川师范大学狮子山校区、狮子山社区卫生服务中心、沙河堡医院、步步高超市、静远路农贸市场、好家乡超市、成都银行、成都农商银行、中国邮政储蓄银行等公共及生活配套设施，区域内有有12路、47路、79路、104路、218路、230路等公交车经过，距地铁2号线“塔子山公园”站沿线距离约1.3公里，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
万科海悦汇-城东区,估价对象所在小区东北临南延线；东南临道路；西北临梓州大道；西南临道路。,周边有“青南美湾”、“悦城”等住宅楼盘，区域内有圣爱堡幼儿园、成都师范银都紫藤小学、东林社区计生卫生服务站、鱼尾广场、红旗超市、中国建设银行、中国银行、中国民生银行等公共及生活配套设施；区域内有507路、510路、g121路、t205路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
佰客郡,估价对象所在小区东北临道路；西北临机场路常乐段；东南临临港路二段；西南临其他。,周边有“和贵久居福”、“温哥华南苑”等住宅楼盘，区域内有航空港红英幼儿园、四川双流棠湖中学外语实验学校、翰林学校、物联网连锁医院空港晶座诊所、北京华联超市、红旗超市、工商银行、邮政银行、兴业银等公共及生活配套设施，区域内有121路、304路、548路、804路、806路、816路、848路、s83路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
北新·润苑,估价对象所在小区东临其他，北临华美东街，南临詹家湾路，西临先驱大道。,周边有“润禾花园”、“ 大峰景”等住宅楼盘，区域内有爱德堡幼稚园、大丰小学三元校区、成都市天回第二实验小学杜家校区、成都市新都区第三人民医院、大丰社区卫生服务中心、大丰黄花市场、福地广场、红旗超市、交通银行、中国工商银行、农商银行等公共及生活配套设施，区域内有672路、新都d2路、新都d3路、新都d1路等公交车经过，公共交通便捷度较好，道路通达度好，区域内居家生活便利。,,,,
顺源南一巷38号院,估价对象所在小区东临道路；西南临其他；西临顺源南一巷；西北临顺源环街；北临顺源东巷。,周边有“顺江小区三区”、“顺源环街399号院”等住宅楼盘，区域内有成都顺江大地幼儿园、成都高新顺江学校、电子科技大学清水河校区、成都高新区合作社区卫生服务中心、红旗超市、顺江农贸市场、成都市农村商业银行、交通银行等公共及生活配套设施基本齐全，区域内有202路、725路、96路、708路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
森林锦舍,估价对象所在小区东北临滨江西路；西北临广场西路；东南临聚贤街；西南临东湖路。,周边有“龙湖尚城”、“新城豪庭”等住宅楼盘，区域内有爱特艺术幼儿园、繁江小学、新都二中、新都第二人民医院、新都东湖康复医院、欧尚、新街菜市、吉选购物中心、红旗超市、交通银行、工商银行、农商银行等公共及生活配套设施，区域内有X45路、X61B路、新都F1路、X62路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
成都市公安局宿舍,估价对象所在小区东南临光荣西路；东北临为民路；西北临二环路北一段；西南临其他。,周边有“信禾人家、“为民新居.北区”等住宅楼盘，区域内有实验外国语学校、成都市光荣小学校、成都市第四人民医院、西南交通大学医院、永辉超市、世纪联华超市、成都银行、华夏银行等公共及生活配套设施，区域内有11路、32路、48路、113路、快速公交k1、快速公交k1a、快速公交k2、快速公交k2a等经过，距离地铁7号线“花照壁”站沿路距离约800米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
